IPEDS_ID,Year,NCAA_Subdivision,FBS_Conference,Total_Expenses,Excess_Transfers_Back,Other_Expenses,Medical,Competition_Guarantees,Recruiting,Game_Expenses_and_Travel,Facilities_and_Equipment,Coaches_Compensation,Support_and_Admin_Compensation_w_Severance,Athletic_Student_Aid,Total_Revenues,Other_Revenue,Corporate_Sponsorship__Advertising__Licensing,Donor_Contributions,Competition_Guarantees.1,NCAA_Conference_Distributions__Media_Rights__and_Post_Season_Football,Ticket_Sales,Institutional_Government_Support,Student_Fees,Total_Academic_Spending__University_Wide_,Total_Football_Spending,Total_Football_Coaching_Salaries,Athletics_Related_Debt,Annual_Debt_Service__Leases_and_Rental_Fees_on_Athletic_Facilities
237525,2017,Football Bowl Subdivision,Conference USA,30342248.0,0.0,2951294.0,910401.0,979420.0,509452.0,4135769.0,4298848.0,4918623.0,4285075.0,7353366.0,29287471.0,1968668.0,303428.0,3652264.0,663657.0,4466100.0,3887680.0,8078014.0,6267660.0,242739085.0,8912287.0,2333060.0,11748669.0,1173149.0
204024,2017,Football Bowl Subdivision,Mid-American Conference,36097843.0,0.0,3823275.0,558769.0,809113.0,596144.0,3559494.0,3689320.0,6542331.0,5219943.0,11299454.0,37766348.0,2301344.0,1008208.0,2594400.0,1169000.0,4856034.0,1143399.0,7323163.0,17370800.0,424647164.0,9348845.0,2183413.0,15797026.0,2135752.0
171100,2017,Football Bowl Subdivision,Big Ten Conference,117506272.0,0.0,12479180.0,1209973.0,3568966.0,1732418.0,12549159.0,31971789.0,20930050.0,17974387.0,15090350.0,126021377.0,10142014.0,15853798.0,32363526.0,839536.0,39118981.0,26802465.0,901057.0,0.0,1821943003.0,29910359.0,8368300.0,90735854.0,14915000.0
220978,2017,Football Bowl Subdivision,Conference USA,34040334.0,0.0,3721130.0,451017.0,244400.0,525423.0,4932978.0,5229373.0,5844226.0,4171670.0,8920117.0,34040334.0,431035.0,1948575.0,2083814.0,1353000.0,4413016.0,1434096.0,15677328.0,6699470.0,329771835.0,10923170.0,2316250.0,12708267.0,998594.0
176080,2017,Football Bowl Subdivision,Southeastern Conference,88138943.0,1787511.0,8959982.0,968329.0,1277409.0,1327821.0,11575431.0,23731429.0,16974007.0,11814294.0,9722730.0,100062237.0,4239189.0,6782116.0,25035952.0,642500.0,47580366.0,15782114.0,0.0,0.0,621909960.0,23069815.0,8621818.0,114306972.0,7043238.0
188030,2017,Football Bowl Subdivision,Sun Belt Conference,23507513.0,0.0,1871270.0,550403.0,304040.0,339715.0,3578763.0,2839569.0,4286967.0,2957880.0,6778906.0,26114479.0,875564.0,1180927.0,852696.0,2968064.0,2182420.0,1221025.0,13380613.0,3453170.0,377824113.0,6284876.0,1480770.0,4957000.0,843000.0
199193,2017,Football Bowl Subdivision,Atlantic Coast Conference,86924779.0,0.0,10811157.0,1229551.0,2107167.0,1971283.0,10813718.0,14534433.0,17357592.0,15813579.0,12286299.0,83741572.0,3978710.0,4471440.0,15078662.0,200000.0,32241511.0,21219458.0,1384.0,6550407.0,1277140768.0,24249898.0,6018030.0,29404590.0,7262760.0
147703,2017,Football Bowl Subdivision,Mid-American Conference,25661395.0,0.0,2245874.0,385398.0,785158.0,330427.0,3263597.0,3699685.0,4284615.0,3020192.0,7646449.0,25795597.0,904907.0,1086419.0,1631882.0,1396000.0,3123337.0,836853.0,7207703.0,9608496.0,463544809.0,8128727.0,1734379.0,7783000.0,21676.0
204857,2017,Football Bowl Subdivision,Mid-American Conference,32621410.0,0.0,2919671.0,603844.0,1050000.0,616002.0,3168057.0,7528639.0,5551278.0,3196756.0,7987163.0,32234688.0,1399482.0,1618408.0,2084887.0,1100000.0,4760111.0,1181793.0,2554390.0,17535617.0,639956506.0,10134886.0,1901100.0,9542752.0,1473627.0
207388,2017,Football Bowl Subdivision,Big 12 Conference,89833094.0,0.0,17596569.0,1219200.0,1535834.0,1018635.0,10853773.0,18474736.0,16285646.0,15477192.0,7371509.0,91644865.0,6974952.0,4691361.0,15573414.0,115256.0,40937723.0,19679074.0,0.0,3673085.0,603043930.0,19321071.0,7791143.0,75448000.0,7098000.0
